,symbol,total_rows,date_range,missing_open,missing_high,missing_low,missing_close,missing_volume,missing_percentage,zero_volume_days,data_completeness,has_volume_issues
EURUSD=X,EURUSD=X,5628,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5628,100.0,True
GBPUSD=X,GBPUSD=X,5640,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5640,100.0,True
USDJPY=X,USDJPY=X,6648,2000-01-03 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,6648,100.0,True
USDCHF=X,USDCHF=X,5694,2003-09-17 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5694,100.0,True
AUDUSD=X,AUDUSD=X,5004,2006-05-16 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5004,100.0,True
USDCAD=X,USDCAD=X,5696,2003-09-17 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5696,100.0,True
NZDUSD=X,NZDUSD=X,5629,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5629,100.0,True
EURGBP=X,EURGBP=X,6668,2000-01-03 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,6668,100.0,True
EURJPY=X,EURJPY=X,5853,2003-01-23 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5853,100.0,True
EURCHF=X,EURCHF=X,5851,2003-01-23 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5851,100.0,True
EURAUD=X,EURAUD=X,5645,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5645,100.0,True
EURCAD=X,EURCAD=X,5631,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5631,100.0,True
EURNZD=X,EURNZD=X,5645,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5645,100.0,True
GBPJPY=X,GBPJPY=X,5644,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5644,100.0,True
GBPCHF=X,GBPCHF=X,5686,2003-10-01 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5686,100.0,True
GBPAUD=X,GBPAUD=X,5774,2003-06-03 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5774,100.0,True
GBPCAD=X,GBPCAD=X,5645,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5645,100.0,True
GBPNZD=X,GBPNZD=X,5773,2003-06-03 00:00:00+01:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5773,100.0,True
AUDJPY=X,AUDJPY=X,5647,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5647,100.0,True
AUDCHF=X,AUDCHF=X,5619,2003-12-01 00:00:00+00:00 to 2025-08-05 00:00:00+01:00,0,0,0,0,0,0.0,5619,100.0,True
